timestamp,open,high,low,close,volume,symbol,launch_date,hours_from_launch
2025-09-08 08:00:00,0.21,0.2129,0.2044,0.2073,1134963,WLFIUSDC,2025-09-08 13:30:00,0
2025-09-08 09:00:00,0.2073,0.2108,0.2061,0.2097,3092367,WLFIUSDC,2025-09-08 13:30:00,1
2025-09-08 10:00:00,0.2097,0.21,0.2068,0.2085,3434836,WLFIUSDC,2025-09-08 13:30:00,2
2025-09-08 11:00:00,0.2087,0.2089,0.2066,0.2081,1913653,WLFIUSDC,2025-09-08 13:30:00,3
2025-09-08 12:00:00,0.2081,0.218,0.2073,0.2121,4677468,WLFIUSDC,2025-09-08 13:30:00,4
2025-09-08 13:00:00,0.212,0.2126,0.2088,0.2107,2983322,WLFIUSDC,2025-09-08 13:30:00,5
2025-09-08 14:00:00,0.2106,0.2153,0.2105,0.2114,2101590,WLFIUSDC,2025-09-08 13:30:00,6
2025-09-08 15:00:00,0.2115,0.2163,0.2109,0.2146,2015565,WLFIUSDC,2025-09-08 13:30:00,7
2025-09-08 16:00:00,0.2146,0.2169,0.2113,0.213,3366224,WLFIUSDC,2025-09-08 13:30:00,8
2025-09-08 17:00:00,0.2132,0.2132,0.2093,0.2122,2042517,WLFIUSDC,2025-09-08 13:30:00,9
2025-09-08 18:00:00,0.212,0.213,0.2048,0.2095,2850047,WLFIUSDC,2025-09-08 13:30:00,10
2025-09-08 19:00:00,0.2093,0.2099,0.2069,0.2094,1174914,WLFIUSDC,2025-09-08 13:30:00,11
2025-09-08 20:00:00,0.2094,0.2117,0.2078,0.2113,1117645,WLFIUSDC,2025-09-08 13:30:00,12
2025-09-08 21:00:00,0.2111,0.2127,0.2095,0.2101,1181096,WLFIUSDC,2025-09-08 13:30:00,13
2025-09-08 22:00:00,0.2102,0.2108,0.2082,0.2099,934913,WLFIUSDC,2025-09-08 13:30:00,14
2025-09-08 23:00:00,0.2102,0.2116,0.2092,0.211,715157,WLFIUSDC,2025-09-08 13:30:00,15
2025-09-09 00:00:00,0.2111,0.2146,0.2105,0.2129,1219529,WLFIUSDC,2025-09-08 13:30:00,16
2025-09-09 01:00:00,0.2129,0.2148,0.2104,0.2113,1102768,WLFIUSDC,2025-09-08 13:30:00,17
2025-09-09 02:00:00,0.2112,0.2118,0.2025,0.2043,2363797,WLFIUSDC,2025-09-08 13:30:00,18
2025-09-09 03:00:00,0.2044,0.2068,0.2013,0.2064,1860109,WLFIUSDC,2025-09-08 13:30:00,19
2025-09-09 04:00:00,0.2062,0.2114,0.2059,0.2108,1591247,WLFIUSDC,2025-09-08 13:30:00,20
2025-09-09 05:00:00,0.2107,0.2135,0.2096,0.2127,2240298,WLFIUSDC,2025-09-08 13:30:00,21
2025-09-09 06:00:00,0.2128,0.2153,0.2118,0.2137,1355985,WLFIUSDC,2025-09-08 13:30:00,22
2025-09-09 07:00:00,0.2138,0.2235,0.2133,0.2192,4383393,WLFIUSDC,2025-09-08 13:30:00,23
