timestamp,open,high,low,close,volume,symbol,launch_date,minutes_from_launch
2025-08-07 16:45:00,0.3058,0.3165,0.297,0.3064,1383144,CARVUSDT,2025-08-07 21:30:00,0
2025-08-07 16:46:00,0.3064,0.3129,0.3018,0.3076,1303839,CARVUSDT,2025-08-07 21:30:00,1
2025-08-07 16:47:00,0.3076,0.3079,0.2852,0.2976,1251983,CARVUSDT,2025-08-07 21:30:00,2
2025-08-07 16:48:00,0.2975,0.302,0.29,0.2989,641875,CARVUSDT,2025-08-07 21:30:00,3
2025-08-07 16:49:00,0.2988,0.3092,0.298,0.3034,787675,CARVUSDT,2025-08-07 21:30:00,4
2025-08-07 16:50:00,0.3032,0.3048,0.2969,0.2994,844056,CARVUSDT,2025-08-07 21:30:00,5
2025-08-07 16:51:00,0.2993,0.307,0.2993,0.304,703327,CARVUSDT,2025-08-07 21:30:00,6
2025-08-07 16:52:00,0.3037,0.3111,0.3008,0.3062,1071166,CARVUSDT,2025-08-07 21:30:00,7
2025-08-07 16:53:00,0.3058,0.3065,0.3,0.3027,325509,CARVUSDT,2025-08-07 21:30:00,8
2025-08-07 16:54:00,0.3027,0.3079,0.3026,0.3071,271942,CARVUSDT,2025-08-07 21:30:00,9
2025-08-07 16:55:00,0.3072,0.3076,0.3044,0.3052,234820,CARVUSDT,2025-08-07 21:30:00,10
2025-08-07 16:56:00,0.3053,0.3143,0.3035,0.3069,709388,CARVUSDT,2025-08-07 21:30:00,11
2025-08-07 16:57:00,0.3068,0.3084,0.3029,0.3041,990072,CARVUSDT,2025-08-07 21:30:00,12
2025-08-07 16:58:00,0.3041,0.3046,0.2992,0.301,625606,CARVUSDT,2025-08-07 21:30:00,13
2025-08-07 16:59:00,0.3009,0.3048,0.2979,0.3034,522708,CARVUSDT,2025-08-07 21:30:00,14
2025-08-07 17:00:00,0.3031,0.3061,0.302,0.3051,221539,CARVUSDT,2025-08-07 21:30:00,15
2025-08-07 17:01:00,0.3049,0.3065,0.3035,0.3047,262049,CARVUSDT,2025-08-07 21:30:00,16
2025-08-07 17:02:00,0.3045,0.3046,0.2985,0.3028,667810,CARVUSDT,2025-08-07 21:30:00,17
2025-08-07 17:03:00,0.3028,0.3028,0.3002,0.3024,448108,CARVUSDT,2025-08-07 21:30:00,18
2025-08-07 17:04:00,0.3026,0.3027,0.3006,0.3007,116857,CARVUSDT,2025-08-07 21:30:00,19
2025-08-07 17:05:00,0.3009,0.3019,0.2936,0.2982,903834,CARVUSDT,2025-08-07 21:30:00,20
2025-08-07 17:06:00,0.2983,0.3016,0.2983,0.3,247787,CARVUSDT,2025-08-07 21:30:00,21
2025-08-07 17:07:00,0.3,0.3032,0.2998,0.3025,250650,CARVUSDT,2025-08-07 21:30:00,22
2025-08-07 17:08:00,0.3026,0.3028,0.2973,0.2992,500512,CARVUSDT,2025-08-07 21:30:00,23
2025-08-07 17:09:00,0.2992,0.3006,0.2991,0.2996,130552,CARVUSDT,2025-08-07 21:30:00,24
2025-08-07 17:10:00,0.2999,0.3003,0.2988,0.2996,136334,CARVUSDT,2025-08-07 21:30:00,25
2025-08-07 17:11:00,0.2995,0.3015,0.2994,0.301,192933,CARVUSDT,2025-08-07 21:30:00,26
2025-08-07 17:12:00,0.3011,0.3031,0.3011,0.3017,270538,CARVUSDT,2025-08-07 21:30:00,27
2025-08-07 17:13:00,0.302,0.3025,0.3014,0.3016,63918,CARVUSDT,2025-08-07 21:30:00,28
2025-08-07 17:14:00,0.3016,0.3021,0.3014,0.3014,59408,CARVUSDT,2025-08-07 21:30:00,29
2025-08-07 17:15:00,0.3015,0.3038,0.3014,0.3036,141146,CARVUSDT,2025-08-07 21:30:00,30
2025-08-07 17:16:00,0.3036,0.3046,0.3026,0.3039,168664,CARVUSDT,2025-08-07 21:30:00,31
2025-08-07 17:17:00,0.3041,0.3042,0.3033,0.3037,146144,CARVUSDT,2025-08-07 21:30:00,32
2025-08-07 17:18:00,0.3033,0.305,0.3028,0.3045,167553,CARVUSDT,2025-08-07 21:30:00,33
2025-08-07 17:19:00,0.3046,0.3051,0.303,0.3039,153292,CARVUSDT,2025-08-07 21:30:00,34
2025-08-07 17:20:00,0.304,0.3066,0.304,0.3066,191427,CARVUSDT,2025-08-07 21:30:00,35
2025-08-07 17:21:00,0.3067,0.3072,0.3053,0.306,228180,CARVUSDT,2025-08-07 21:30:00,36
2025-08-07 17:22:00,0.3062,0.3063,0.3023,0.3045,319460,CARVUSDT,2025-08-07 21:30:00,37
2025-08-07 17:23:00,0.3046,0.305,0.304,0.304,72758,CARVUSDT,2025-08-07 21:30:00,38
2025-08-07 17:24:00,0.304,0.3042,0.3029,0.3035,106187,CARVUSDT,2025-08-07 21:30:00,39
