symbol,launch_date,entry_time,exit_time,entry_price,target_price,stop_loss_price,exit_price,position_size,profit_usd,profit_pct,exit_reason,capital_before,capital_after,duration_minutes
BIOUSDC,2025-08-25 12:30:00,2025-08-25 07:16:00,2025-08-25 11:14:00,0.2385,0.2862,0.21465,0.23067,8385.744235,-65.660377,-3.283019,4h Timeout,2000.0,1934.339623,238
SOMIUSDT,2025-08-25 14:30:00,2025-08-25 09:31:00,2025-08-25 09:35:00,0.931,1.1172,0.8379,1.1172,2077.700991,386.867925,20.0,Target Hit,1934.339623,2321.207547,4
BASUSDT,2025-08-26 18:30:00,2025-08-26 13:31:00,2025-08-26 13:43:00,0.01394,0.016728,0.012546,0.012546,166514.171246,-232.120755,-10.0,Stop Loss,2321.207547,2089.086792,12
BTRUSDT,2025-08-27 15:30:00,2025-08-27 10:31:00,2025-08-27 11:11:00,0.12656,0.151872,0.113904,0.113904,16506.690838,-208.908679,-10.0,Stop Loss,2089.086792,1880.178113,40
MITOUSDT,2025-08-28 21:30:00,2025-08-28 16:31:00,2025-08-28 16:45:00,0.10349,0.124188,0.093141,0.124188,18167.727444,376.035623,20.0,Target Hit,1880.178113,2256.213736,14
HEMIUSDT,2025-08-29 09:30:00,2025-08-29 04:31:00,2025-08-29 05:08:00,0.025778,0.030934,0.0232,0.0232,87524.778332,-225.621374,-10.0,Stop Loss,2256.213736,2030.592362,37
LINEAUSDT,2025-09-01 13:30:00,2025-09-01 08:31:00,2025-09-01 12:29:00,0.05025,0.0603,0.045225,0.04811,40409.798254,-86.476968,-4.258706,4h Timeout,2030.592362,1944.115394,238
QUSDT,2025-09-02 12:30:00,2025-09-02 07:31:00,2025-09-02 11:17:00,0.009561,0.011473,0.008605,0.011473,203338.081163,388.823079,20.0,Target Hit,1944.115394,2332.938473,226
ARIAUSDT,2025-09-03 16:30:00,2025-09-03 11:01:00,2025-09-03 11:10:00,0.11659,0.139908,0.104931,0.139908,20009.764755,466.587695,20.0,Target Hit,2332.938473,2799.526167,9
TAKEUSDT,2025-09-03 16:30:00,2025-09-03 11:16:00,2025-09-03 11:46:00,0.1392,0.16704,0.12528,0.12528,20111.538559,-279.952617,-10.0,Stop Loss,2799.526167,2519.573551,30
PTBUSDT,2025-09-03 17:30:00,2025-09-03 12:31:00,2025-09-03 12:46:00,0.02563,0.030756,0.023067,0.023067,98305.6399,-251.957355,-10.0,Stop Loss,2519.573551,2267.616196,15
WLFIUSDC,2025-09-08 13:30:00,2025-09-08 08:31:00,2025-09-08 12:29:00,0.2065,0.2478,0.18585,0.2144,10981.19223,86.751419,3.825666,4h Timeout,2267.616196,2354.367614,238
OPENUSDT,2025-09-08 18:30:00,2025-09-08 13:01:00,2025-09-08 13:02:00,0.678,0.8136,0.6102,0.8136,3472.518605,470.873523,20.0,Target Hit,2354.367614,2825.241137,1
FLOCKUSDT,2025-09-09 11:30:00,2025-09-09 06:49:00,2025-09-09 10:28:00,0.4749,0.56988,0.42741,0.42741,5949.128526,-282.524114,-10.0,Stop Loss,2825.241137,2542.717023,219
SKYUSDT,2025-09-09 12:30:00,2025-09-09 07:01:00,2025-09-09 10:59:00,0.07199,0.086388,0.064791,0.0742,35320.419827,78.058128,3.069871,4h Timeout,2542.717023,2620.775151,238
AVNTUSDT,2025-09-09 20:30:00,2025-09-09 15:01:00,2025-09-09 15:01:00,0.2766,0.33192,0.24894,0.24894,9474.964393,-262.077515,-10.0,Stop Loss (Same Candle),2620.775151,2358.697636,0
HOLOUSDT,2025-09-11 17:30:00,2025-09-11 12:01:00,2025-09-11 12:18:00,0.5738,0.68856,0.51642,0.51642,4110.661617,-235.869764,-10.0,Stop Loss,2358.697636,2122.827872,17
XPINUSDT,2025-09-12 13:30:00,2025-09-12 08:01:00,2025-09-12 08:07:00,0.001867,0.00224,0.00168,0.00224,1137269.834146,424.565574,20.0,Target Hit,2122.827872,2547.393447,6
UBUSDT,2025-09-12 15:30:00,2025-09-12 10:31:00,2025-09-12 10:45:00,0.01864,0.022368,0.016776,0.022368,136662.738568,509.478689,20.0,Target Hit,2547.393447,3056.872136,14
ZKCUSDT,2025-09-15 19:30:00,2025-09-15 14:01:00,2025-09-15 15:11:00,1.2819,1.53828,1.15371,1.15371,2384.641654,-305.687214,-10.0,Stop Loss,3056.872136,2751.184923,70
